bench,invocation,baseline_mean_us,aot_mean_us
matrix-multiplication,477,15323.0,14984.2
matrix-multiplication,478,14622.2,14489.8
matrix-multiplication,479,15329.4,15026.2
matrix-multiplication,480,14496.0,14242.4
matrix-multiplication,481,15384.0,14792.4
matrix-multiplication,482,26700.2,27055.6
matrix-multiplication,483,25568.4,25097.8
matrix-multiplication,484,15271.8,15254.8
matrix-multiplication,485,15416.6,15354.2
matrix-multiplication,486,20854.0,19481.4
matrix-multiplication,487,15341.2,14908.4
matrix-multiplication,488,15552.8,15210.6
matrix-multiplication,489,15249.6,14823.8
matrix-multiplication,490,15299.2,14988.0
matrix-multiplication,491,15048.8,14614.4
matrix-multiplication,492,23221.8,25009.6
matrix-multiplication,493,14842.6,14499.0
matrix-multiplication,494,15462.2,14638.2
matrix-multiplication,495,26425.8,18322.4
matrix-multiplication,496,25276.2,24907.8
matrix-multiplication,497,15588.4,15376.2
matrix-multiplication,498,15111.2,14837.2
matrix-multiplication,499,21306.4,20692.4
matrix-multiplication,500,14775.6,14580.2
