bench,invocation,cold_mean_us,warm_mean_us
word-count,223,911.0,884.6
word-count,224,878.6,898.8
word-count,225,891.4,886.4
word-count,226,889.2,876.0
word-count,227,897.6,2160.2
word-count,228,2098.4,875.6
word-count,229,873.2,864.6
word-count,230,868.4,847.0
word-count,231,824.8,845.6
word-count,232,828.0,847.4
word-count,233,870.0,844.0
word-count,234,877.6,839.4
word-count,235,850.2,841.8
word-count,236,850.0,837.8
word-count,237,857.6,834.4
word-count,238,851.8,881.4
word-count,239,911.2,872.6
word-count,240,919.8,835.0
word-count,241,887.0,832.0
word-count,242,861.2,850.4
word-count,243,868.4,853.2
word-count,244,836.4,855.4
word-count,245,848.0,843.2
word-count,246,856.6,828.8
word-count,247,833.8,829.6
word-count,248,832.0,842.0
word-count,249,836.2,853.8
word-count,250,822.4,899.8
word-count,251,840.0,866.2
word-count,252,835.4,863.4
word-count,253,813.6,829.8
word-count,254,885.0,826.4
word-count,255,870.6,853.8
word-count,256,905.4,862.2
word-count,257,895.4,900.8
word-count,258,863.8,906.6
word-count,259,830.2,861.0
word-count,260,831.6,855.8
word-count,261,823.4,834.4
word-count,262,849.0,841.8
word-count,263,882.8,851.2
word-count,264,842.2,867.8
word-count,265,823.4,824.6
word-count,266,849.8,840.8
word-count,267,840.2,836.0
word-count,268,818.4,852.8
word-count,269,812.0,830.0
word-count,270,831.4,830.6
word-count,271,827.0,844.6
word-count,272,820.4,845.2
word-count,273,815.2,844.8
word-count,274,817.2,854.6
word-count,275,855.0,900.8
word-count,276,832.0,856.0
word-count,277,825.6,840.4
word-count,278,833.2,825.4
word-count,279,834.2,825.4
word-count,280,847.4,840.2
word-count,281,838.2,841.8
word-count,282,829.0,836.4
word-count,283,827.6,842.6
word-count,284,822.8,840.6
word-count,285,827.0,842.8
word-count,286,834.8,843.6
word-count,287,851.6,838.2
word-count,288,841.4,845.4
word-count,289,826.0,830.0
word-count,290,831.0,842.4
word-count,291,838.8,847.4
word-count,292,850.2,856.2
word-count,293,834.2,855.4
word-count,294,828.0,840.2
word-count,295,874.6,833.2
word-count,296,855.0,835.6
word-count,297,849.6,839.4
word-count,298,826.8,840.6
word-count,299,869.2,898.0
word-count,300,839.6,860.8
word-count,301,837.4,843.2
word-count,302,858.8,843.4
word-count,303,877.6,907.8
word-count,304,898.0,888.0
word-count,305,834.0,890.4
word-count,306,824.2,857.2
word-count,307,833.2,853.0
word-count,308,840.0,846.6
word-count,309,843.6,874.0
word-count,310,850.2,847.4
word-count,311,861.0,849.2
word-count,312,859.8,841.4
word-count,313,827.8,849.0
word-count,314,824.0,832.4
word-count,315,849.8,833.6
word-count,316,863.4,867.4
word-count,317,840.0,857.0
word-count,318,834.8,830.8
word-count,319,832.0,838.4
word-count,320,872.2,849.2
word-count,321,856.8,866.0
word-count,322,860.0,853.4
word-count,323,867.6,832.0
word-count,324,854.4,849.0
word-count,325,844.4,850.4
word-count,326,838.6,840.6
word-count,327,854.8,833.8
word-count,328,875.8,838.0
word-count,329,837.8,844.4
word-count,330,836.0,857.4
word-count,331,862.0,835.8
word-count,332,841.0,863.0
word-count,333,845.6,853.4
word-count,334,838.6,840.2
word-count,335,849.2,840.2
word-count,336,860.8,832.4
word-count,337,837.4,837.6
word-count,338,837.6,830.2
word-count,339,849.2,837.4
word-count,340,849.8,846.2
word-count,341,860.8,864.4
word-count,342,825.2,854.8
word-count,343,832.8,865.2
word-count,344,856.0,873.8
word-count,345,857.8,859.6
word-count,346,834.2,867.8
word-count,347,845.4,853.2
word-count,348,828.8,843.8
word-count,349,846.4,833.0
word-count,350,833.4,847.6
word-count,351,849.4,843.4
word-count,352,863.2,852.2
word-count,353,856.4,868.4
word-count,354,839.4,831.8
word-count,355,835.8,845.0
word-count,356,838.6,870.4
word-count,357,856.8,857.6
word-count,358,847.2,867.2
word-count,359,844.6,829.2
word-count,360,872.2,821.2
word-count,361,842.2,828.8
word-count,362,831.8,854.6
word-count,363,861.4,849.4
word-count,364,852.0,859.8
word-count,365,836.2,852.4
word-count,366,856.4,859.2
word-count,367,847.6,845.8
word-count,368,863.2,840.0
word-count,369,869.0,856.8
word-count,370,858.6,881.6
word-count,371,855.0,840.8
word-count,372,840.0,827.8
word-count,373,831.0,858.8
word-count,374,850.4,817.8
word-count,375,846.0,853.8
word-count,376,861.4,838.4
word-count,377,874.0,857.2
word-count,378,848.8,857.6
word-count,379,833.4,851.4
word-count,380,842.8,830.4
word-count,381,841.2,843.6
word-count,382,863.6,823.8
word-count,383,873.2,819.2
word-count,384,902.6,895.2
word-count,385,854.2,886.8
word-count,386,858.2,884.2
word-count,387,871.8,857.4
word-count,388,877.8,855.4
word-count,389,840.8,858.6
word-count,390,857.2,841.0
word-count,391,874.8,864.8
word-count,392,882.0,825.4
word-count,393,854.2,820.8
word-count,394,860.2,837.4
word-count,395,868.8,832.6
word-count,396,841.8,849.2
word-count,397,833.2,888.2
word-count,398,839.4,830.4
word-count,399,835.8,848.8
word-count,400,855.4,907.0
word-count,401,884.4,875.0
word-count,402,884.8,899.0
word-count,403,890.8,894.8
word-count,404,885.6,864.4
word-count,405,866.8,888.4
word-count,406,894.4,898.2
word-count,407,884.0,883.8
word-count,408,906.6,887.0
word-count,409,884.2,884.0
word-count,410,877.0,886.0
word-count,411,879.2,866.6
word-count,412,861.2,872.0
word-count,413,878.4,876.6
word-count,414,888.8,878.4
word-count,415,885.4,878.2
word-count,416,894.4,871.2
word-count,417,899.2,872.4
word-count,418,879.8,918.6
word-count,419,871.2,880.8
word-count,420,854.8,887.8
word-count,421,878.6,906.6
word-count,422,899.6,872.6
word-count,423,872.4,868.8
word-count,424,877.4,880.2
word-count,425,891.0,885.0
word-count,426,900.2,898.4
word-count,427,884.0,902.2
word-count,428,873.0,890.8
word-count,429,853.2,945.4
word-count,430,871.4,896.2
word-count,431,894.6,887.2
word-count,432,875.2,873.4
word-count,433,879.2,909.0
word-count,434,882.8,865.8
word-count,435,877.6,866.8
word-count,436,862.8,888.4
word-count,437,861.0,877.8
word-count,438,870.6,877.0
