bench,invocation,cold_mean_us,warm_mean_us
simple-hash,177,9281.0,9727.4
simple-hash,178,8614.0,10009.4
simple-hash,179,8114.8,10051.6
simple-hash,180,7623.6,10014.4
simple-hash,181,8085.0,10693.8
simple-hash,182,9663.0,11034.8
simple-hash,183,9280.8,10409.6
simple-hash,184,8844.2,10794.0
simple-hash,185,9034.0,10805.0
simple-hash,186,9143.0,10739.2
simple-hash,187,9162.8,10404.4
simple-hash,188,9697.6,10129.6
simple-hash,189,9117.8,9636.8
simple-hash,190,9376.0,9971.2
simple-hash,191,8379.8,10039.8
simple-hash,192,9869.8,10018.8
simple-hash,193,9790.8,9962.6
simple-hash,194,9818.4,9856.0
simple-hash,195,10144.6,9692.6
simple-hash,196,9780.6,9839.2
simple-hash,197,9804.2,10152.6
simple-hash,198,9290.4,9874.4
simple-hash,199,9424.4,9773.6
simple-hash,200,9350.0,9605.8
simple-hash,201,10296.8,10380.2
simple-hash,202,10164.0,9787.6
simple-hash,203,9138.6,10288.4
simple-hash,204,10305.8,9660.0
simple-hash,205,10562.8,10490.6
simple-hash,206,9482.2,10116.8
simple-hash,207,9743.6,10684.0
simple-hash,208,9667.4,10586.4
simple-hash,209,10669.6,10055.4
simple-hash,210,10404.4,10422.2
simple-hash,211,9903.2,10156.4
simple-hash,212,9028.4,10634.6
simple-hash,213,9189.0,10286.0
simple-hash,214,8840.8,10328.0
simple-hash,215,8878.6,10295.4
simple-hash,216,9270.2,10495.2
simple-hash,217,8570.8,10412.8
simple-hash,218,7864.4,10293.8
simple-hash,219,6572.6,10511.8
simple-hash,220,6107.4,9093.8
simple-hash,221,4966.6,8977.8
simple-hash,222,5770.6,9397.4
simple-hash,223,6579.0,9470.0
simple-hash,224,7397.4,10463.8
simple-hash,225,7618.0,10497.0
simple-hash,226,8020.8,9584.6
simple-hash,227,8581.4,10587.4
simple-hash,228,8886.0,11215.0
simple-hash,229,8864.6,10095.2
simple-hash,230,9425.8,8576.0
simple-hash,231,10322.8,9587.8
simple-hash,232,8904.0,8777.4
simple-hash,233,9038.6,7623.6
simple-hash,234,9563.8,7156.4
simple-hash,235,9933.6,7705.6
simple-hash,236,9251.4,7617.0
simple-hash,237,8693.6,8222.8
simple-hash,238,9048.0,8338.2
simple-hash,239,7628.8,8774.6
simple-hash,240,8904.4,9059.6
simple-hash,241,8764.6,9095.0
simple-hash,242,8723.4,8849.2
simple-hash,243,9053.2,8595.8
simple-hash,244,9123.8,9030.4
simple-hash,245,8746.6,8543.2
simple-hash,246,8484.2,8896.2
simple-hash,247,8694.2,8253.4
simple-hash,248,6993.6,8649.8
simple-hash,249,7327.4,9165.4
simple-hash,250,7547.4,9005.6
simple-hash,251,7547.8,8849.0
simple-hash,252,9139.8,8886.6
simple-hash,253,8528.8,9241.6
simple-hash,254,9112.6,8963.0
simple-hash,255,8567.2,5152.4
simple-hash,256,8818.8,8235.0
simple-hash,257,8730.4,8593.4
simple-hash,258,8523.4,8414.0
simple-hash,259,7956.8,7646.0
simple-hash,260,6446.0,7925.6
simple-hash,261,6344.4,7945.2
simple-hash,262,8543.2,8476.8
simple-hash,263,8159.2,9070.0
simple-hash,264,6671.4,8058.4
simple-hash,265,7369.2,8878.6
simple-hash,266,7517.8,9006.8
simple-hash,267,8604.4,9298.6
simple-hash,268,7619.6,9461.4
simple-hash,269,6785.8,9036.0
simple-hash,270,7229.0,8318.6
simple-hash,271,7675.0,7872.2
simple-hash,272,7474.8,8914.2
simple-hash,273,7514.4,9117.2
simple-hash,274,7754.8,8493.6
simple-hash,275,7892.0,9913.4
simple-hash,276,7366.8,10243.6
simple-hash,277,6691.2,9974.0
simple-hash,278,6694.8,9420.6
simple-hash,279,6602.8,10576.0
simple-hash,280,7141.2,9877.6
simple-hash,281,6144.0,10124.8
simple-hash,282,6846.0,10049.4
simple-hash,283,7599.6,10014.2
simple-hash,284,7671.0,9941.8
simple-hash,285,8769.6,10004.6
simple-hash,286,8034.8,10565.8
simple-hash,287,7308.6,11097.6
simple-hash,288,7705.6,10097.2
simple-hash,289,8622.6,10125.8
simple-hash,290,7976.8,9319.4
simple-hash,291,7473.4,8914.8
simple-hash,292,7465.6,9284.2
simple-hash,293,7274.2,9448.2
simple-hash,294,8670.8,10221.6
simple-hash,295,9089.6,10027.4
simple-hash,296,8671.4,10086.0
simple-hash,297,9066.4,10168.0
simple-hash,298,8721.8,10392.2
simple-hash,299,9252.0,9543.4
simple-hash,300,9735.4,9868.2
simple-hash,301,9688.8,9824.2
simple-hash,302,7914.8,9869.0
simple-hash,303,8356.6,9400.6
simple-hash,304,8444.6,8998.8
simple-hash,305,8879.6,10170.2
simple-hash,306,8390.8,9390.6
simple-hash,307,7981.8,10335.0
simple-hash,308,11255.6,10537.2
simple-hash,309,9167.0,10317.6
simple-hash,310,8523.8,9994.0
simple-hash,311,7570.6,10398.0
simple-hash,312,7559.6,10327.0
simple-hash,313,8851.0,9926.4
simple-hash,314,8476.0,10338.2
simple-hash,315,8134.8,9069.0
simple-hash,316,9243.6,8585.6
simple-hash,317,8598.2,7302.2
simple-hash,318,10076.4,7774.6
simple-hash,319,9256.0,7318.6
simple-hash,320,8845.0,7086.4
simple-hash,321,8952.0,7559.0
simple-hash,322,7514.6,7911.6
simple-hash,323,7808.6,9055.6
simple-hash,324,7871.2,9094.0
simple-hash,325,8815.4,7660.4
simple-hash,326,8283.6,7641.2
simple-hash,327,9303.4,8884.8
simple-hash,328,9411.8,8647.2
simple-hash,329,8882.2,9574.6
simple-hash,330,6999.2,10137.2
simple-hash,331,8235.8,9641.0
simple-hash,332,8719.6,10040.6
simple-hash,333,7962.6,10459.2
simple-hash,334,7175.0,9766.6
simple-hash,335,8597.0,10461.8
simple-hash,336,8819.2,10071.6
simple-hash,337,9124.4,10378.6
simple-hash,338,7815.8,9910.0
simple-hash,339,9669.8,9502.8
simple-hash,340,7408.0,9902.8
simple-hash,341,6180.4,9694.4
simple-hash,342,6594.8,10114.4
simple-hash,343,8271.0,10308.6
simple-hash,344,8066.4,10792.6
simple-hash,345,7283.4,10223.0
simple-hash,346,6107.4,10810.6
simple-hash,347,8141.6,11046.4
simple-hash,348,7291.8,9898.2
simple-hash,349,7863.0,9950.2
simple-hash,350,8633.0,9794.8
simple-hash,351,9115.0,10557.0
simple-hash,352,9111.6,9448.6
simple-hash,353,9343.2,10219.6
simple-hash,354,9013.4,9402.6
simple-hash,355,9406.8,9178.2
simple-hash,356,11133.2,9492.2
simple-hash,357,8405.6,9749.6
simple-hash,358,7723.2,10478.4
simple-hash,359,7828.4,10078.0
simple-hash,360,7377.6,11066.4
simple-hash,361,7422.8,10912.6
simple-hash,362,7021.8,10414.8
simple-hash,363,7168.4,10185.6
simple-hash,364,7164.0,8744.0
simple-hash,365,7181.0,8374.0
simple-hash,366,7305.0,8103.0
simple-hash,367,6981.2,8631.8
simple-hash,368,7799.4,9102.0
simple-hash,369,7727.8,9121.0
simple-hash,370,8866.8,9001.4
simple-hash,371,9014.6,8812.2
simple-hash,372,9344.6,8388.2
simple-hash,373,7817.2,9328.8
simple-hash,374,7894.0,9126.4
simple-hash,375,8245.6,9579.6
simple-hash,376,8972.2,9064.2
simple-hash,377,8104.8,9824.2
simple-hash,378,8022.4,10365.0
simple-hash,379,8605.4,10052.4
simple-hash,380,7464.0,9992.8
simple-hash,381,8687.6,10415.8
simple-hash,382,7618.2,10359.8
simple-hash,383,7971.4,10695.8
simple-hash,384,6468.6,10374.2
simple-hash,385,8241.2,10023.4
simple-hash,386,7870.0,9851.2
simple-hash,387,8483.6,9487.2
simple-hash,388,8436.2,9188.4
simple-hash,389,8724.0,9038.8
simple-hash,390,8105.8,8852.8
simple-hash,391,7953.8,8243.6
simple-hash,392,8008.6,9046.2
simple-hash,393,6903.0,8644.6
simple-hash,394,6906.2,9457.0
simple-hash,395,6616.2,8983.6
simple-hash,396,7285.8,10406.0
simple-hash,397,8338.8,10194.4
simple-hash,398,7959.6,10377.2
simple-hash,399,9194.0,10303.0
simple-hash,400,7891.2,10357.6
simple-hash,401,7475.6,10535.2
simple-hash,402,7884.2,10102.8
simple-hash,403,6670.8,10519.2
simple-hash,404,7477.6,10055.6
simple-hash,405,8525.8,10479.0
simple-hash,406,8117.0,9880.8
simple-hash,407,9067.8,10459.6
simple-hash,408,8578.8,9755.4
simple-hash,409,8261.4,10985.0
simple-hash,410,7270.8,10579.6
simple-hash,411,8471.0,10530.8
simple-hash,412,7663.6,10402.4
simple-hash,413,7602.6,9696.2
simple-hash,414,8263.2,10489.2
simple-hash,415,8460.8,9827.4
simple-hash,416,7834.0,10340.0
simple-hash,417,8621.6,10480.2
simple-hash,418,8470.6,10759.2
simple-hash,419,7916.8,10451.4
simple-hash,420,9186.8,11477.0
simple-hash,421,11054.8,11681.2
simple-hash,422,7338.2,10594.6
simple-hash,423,7011.0,10691.8
simple-hash,424,6424.6,10276.0
simple-hash,425,7732.6,10651.0
simple-hash,426,6162.4,10391.4
simple-hash,427,7213.0,10796.4
simple-hash,428,7299.4,10516.2
simple-hash,429,7554.6,9896.4
simple-hash,430,8203.0,10141.8
simple-hash,431,8928.2,10570.8
simple-hash,432,8448.2,10125.4
simple-hash,433,7689.0,9487.2
simple-hash,434,8264.2,10307.4
simple-hash,435,8586.2,11061.6
simple-hash,436,8849.8,9212.8
simple-hash,437,8329.0,9488.4
simple-hash,438,8502.2,9662.6
simple-hash,439,8256.8,9421.0
simple-hash,440,7018.0,10511.4
simple-hash,441,7553.2,10066.6
simple-hash,442,8546.6,9816.4
simple-hash,443,7531.0,10297.6
simple-hash,444,6409.8,10479.6
simple-hash,445,6860.0,10301.0
simple-hash,446,6440.2,10416.2
simple-hash,447,6534.8,8599.0
simple-hash,448,8537.6,10644.6
simple-hash,449,7215.0,10358.6
simple-hash,450,6223.0,11462.8
simple-hash,451,8177.6,10196.0
simple-hash,452,10047.6,10141.6
simple-hash,453,8738.4,9481.6
simple-hash,454,8693.8,8097.0
simple-hash,455,7563.4,8339.6
simple-hash,456,8353.2,8417.8
simple-hash,457,6677.2,9199.4
simple-hash,458,6921.2,9213.4
simple-hash,459,7460.8,10213.2
simple-hash,460,7566.4,10287.6
simple-hash,461,7610.6,10120.6
simple-hash,462,7609.8,10586.8
simple-hash,463,7324.2,10538.4
simple-hash,464,7485.2,10577.8
simple-hash,465,6046.8,9217.6
simple-hash,466,7596.0,9339.2
simple-hash,467,8051.6,9575.8
simple-hash,468,6428.8,10251.0
simple-hash,469,7132.2,9234.4
simple-hash,470,6109.4,8937.4
simple-hash,471,7785.6,8700.6
simple-hash,472,8260.4,9267.0
simple-hash,473,8629.4,10462.2
simple-hash,474,7487.0,9353.4
simple-hash,475,9139.2,9639.0
simple-hash,476,9144.2,9024.4
simple-hash,477,9402.2,9051.6
simple-hash,478,9563.0,8959.4
simple-hash,479,9340.0,9953.6
simple-hash,480,9615.8,10110.2
simple-hash,481,9561.2,10203.4
simple-hash,482,9593.4,10316.6
simple-hash,483,8667.6,10119.2
simple-hash,484,8333.2,10334.4
simple-hash,485,8994.2,9916.0
simple-hash,486,8711.2,8898.2
simple-hash,487,9202.2,10296.0
simple-hash,488,9984.8,10248.4
simple-hash,489,8366.2,9297.2
simple-hash,490,9470.2,9546.2
simple-hash,491,8426.6,10215.8
simple-hash,492,7640.0,10530.4
simple-hash,493,8155.8,10532.2
simple-hash,494,9138.6,10905.8
simple-hash,495,9937.0,9012.0
simple-hash,496,9745.4,8760.0
simple-hash,497,9506.8,9373.6
simple-hash,498,9366.6,9475.2
simple-hash,499,8611.6,10212.4
simple-hash,500,7650.8,10011.6
