bench,invocation,baseline_mean_us,aot_mean_us
simple-hash,177,8371.0,5570.8
simple-hash,178,7891.2,5463.6
simple-hash,179,9499.6,5719.8
simple-hash,180,8773.2,5307.8
simple-hash,181,10254.4,6550.2
simple-hash,182,9433.2,6097.0
simple-hash,183,9630.8,6165.4
simple-hash,184,8029.4,6977.8
simple-hash,185,9358.2,7752.0
simple-hash,186,9775.4,6575.8
simple-hash,187,9250.2,6305.4
simple-hash,188,10080.8,5797.4
simple-hash,189,9182.4,7055.8
simple-hash,190,8268.4,6829.0
simple-hash,191,9942.6,6703.8
simple-hash,192,9029.2,6269.6
simple-hash,193,8015.0,6845.4
simple-hash,194,8417.4,7163.2
simple-hash,195,8826.0,7458.2
simple-hash,196,8371.2,6705.0
simple-hash,197,8668.2,6977.4
simple-hash,198,8976.0,6165.8
simple-hash,199,9703.8,6437.0
simple-hash,200,9413.4,8128.8
simple-hash,201,9562.6,8072.6
simple-hash,202,9146.4,7912.8
simple-hash,203,9471.0,7993.6
simple-hash,204,9087.0,7867.2
simple-hash,205,9314.6,6121.6
simple-hash,206,9084.0,7141.0
simple-hash,207,8454.0,7249.2
simple-hash,208,7814.4,7466.8
simple-hash,209,8086.2,6643.4
simple-hash,210,9458.0,6795.2
simple-hash,211,10073.2,6134.2
simple-hash,212,8585.4,7654.4
simple-hash,213,9596.0,6701.0
simple-hash,214,9166.2,7024.8
simple-hash,215,8728.0,6613.0
simple-hash,216,10556.8,7922.8
simple-hash,217,8778.2,6439.0
simple-hash,218,8719.4,7579.6
simple-hash,219,9042.6,6580.4
simple-hash,220,8681.6,7238.4
simple-hash,221,8680.2,6825.8
simple-hash,222,8661.8,5989.6
simple-hash,223,7984.0,6004.4
simple-hash,224,8614.0,5954.0
simple-hash,225,9191.2,5474.8
simple-hash,226,9004.0,6941.6
simple-hash,227,8418.2,6583.0
simple-hash,228,8714.6,6224.8
simple-hash,229,8247.8,6347.0
simple-hash,230,8171.2,7642.0
simple-hash,231,9037.6,7047.2
simple-hash,232,9296.6,6461.0
simple-hash,233,8736.2,7027.8
simple-hash,234,8474.2,6441.4
simple-hash,235,8230.0,5489.8
simple-hash,236,8850.8,6090.0
simple-hash,237,9012.2,8129.0
simple-hash,238,8020.0,7298.6
simple-hash,239,8172.8,5897.8
simple-hash,240,8534.8,6945.8
simple-hash,241,8059.6,6941.8
simple-hash,242,7558.4,9147.8
simple-hash,243,8499.6,7451.2
simple-hash,244,7442.0,7857.2
simple-hash,245,8013.0,8735.4
simple-hash,246,7123.8,6621.2
simple-hash,247,6990.6,6299.4
simple-hash,248,8203.2,7657.2
simple-hash,249,7322.2,7927.4
simple-hash,250,7832.8,7873.6
simple-hash,251,8252.4,7716.8
simple-hash,252,8782.6,7292.4
simple-hash,253,9212.4,7297.0
simple-hash,254,7692.0,7593.6
simple-hash,255,7418.8,7415.0
simple-hash,256,7469.4,6906.0
simple-hash,257,7485.0,6908.0
simple-hash,258,7815.8,7107.2
simple-hash,259,8357.0,8583.2
simple-hash,260,8075.6,7651.4
simple-hash,261,8143.0,7574.6
simple-hash,262,10012.4,6115.2
simple-hash,263,8659.4,7420.0
simple-hash,264,8212.6,6043.0
simple-hash,265,8472.8,7598.4
simple-hash,266,10665.2,7340.0
simple-hash,267,8987.6,7927.6
simple-hash,268,8111.0,8103.4
simple-hash,269,8526.2,7973.4
simple-hash,270,8095.4,9054.0
simple-hash,271,8939.2,8099.6
simple-hash,272,8213.8,6171.2
simple-hash,273,9486.0,7470.4
simple-hash,274,8902.0,10456.0
simple-hash,275,8686.4,9427.0
simple-hash,276,9871.0,9156.0
simple-hash,277,8770.8,8188.6
simple-hash,278,8871.8,8810.0
simple-hash,279,9539.8,7837.6
simple-hash,280,8566.2,7898.6
simple-hash,281,8585.0,6839.8
simple-hash,282,9066.6,7856.6
simple-hash,283,7128.8,8145.0
simple-hash,284,9358.0,6881.4
simple-hash,285,8169.4,7516.0
simple-hash,286,7580.2,7526.4
simple-hash,287,7522.2,7282.4
simple-hash,288,7747.2,7752.2
simple-hash,289,7824.6,6620.2
simple-hash,290,8603.6,7222.6
simple-hash,291,8132.8,8121.2
simple-hash,292,7879.0,8697.0
simple-hash,293,8248.0,8074.2
simple-hash,294,7979.6,8580.4
simple-hash,295,7653.0,9125.6
simple-hash,296,8416.6,7916.2
simple-hash,297,8848.0,7069.0
simple-hash,298,8541.4,7754.2
simple-hash,299,8552.6,7021.2
simple-hash,300,9303.0,7257.0
simple-hash,301,8765.0,7721.8
simple-hash,302,8278.2,6950.4
simple-hash,303,8399.0,6425.8
simple-hash,304,7284.2,7176.0
simple-hash,305,8127.0,7176.8
simple-hash,306,8787.6,6002.8
simple-hash,307,9515.0,6652.2
simple-hash,308,8950.4,6614.0
simple-hash,309,8686.4,6332.0
simple-hash,310,8332.6,6829.0
simple-hash,311,9152.0,6915.8
simple-hash,312,8508.0,7024.6
simple-hash,313,8114.4,6978.0
simple-hash,314,9306.0,7459.2
simple-hash,315,9771.8,7376.2
simple-hash,316,8542.0,6901.4
simple-hash,317,8410.0,6890.6
simple-hash,318,7672.0,7171.4
simple-hash,319,8708.6,6883.4
simple-hash,320,8897.2,7456.4
simple-hash,321,8846.8,6933.6
simple-hash,322,9026.4,6515.6
simple-hash,323,9880.4,6988.8
simple-hash,324,9516.4,7307.8
simple-hash,325,9489.2,6491.8
simple-hash,326,9407.8,6196.2
simple-hash,327,9494.2,7285.0
simple-hash,328,10455.4,7587.0
simple-hash,329,9173.6,8266.8
simple-hash,330,9290.8,8027.4
simple-hash,331,9841.4,7227.4
simple-hash,332,9207.8,7581.0
simple-hash,333,9510.2,7513.2
simple-hash,334,9384.4,7181.0
simple-hash,335,9073.2,6636.0
simple-hash,336,8524.2,7862.0
simple-hash,337,9537.8,7550.6
simple-hash,338,8668.8,8866.4
simple-hash,339,8841.4,8214.8
simple-hash,340,7344.6,7062.4
simple-hash,341,8129.4,8290.8
simple-hash,342,7396.4,7805.6
simple-hash,343,9274.0,6751.6
simple-hash,344,7818.6,7217.6
simple-hash,345,8133.2,7440.0
simple-hash,346,8361.0,6896.2
simple-hash,347,9002.6,7258.4
simple-hash,348,7917.0,8543.6
simple-hash,349,8274.0,7807.4
simple-hash,350,8416.4,6880.4
simple-hash,351,8993.0,7757.0
simple-hash,352,10067.8,7158.8
simple-hash,353,8643.8,7705.6
simple-hash,354,6827.4,7669.8
simple-hash,355,7553.2,8308.0
simple-hash,356,9560.6,8301.8
simple-hash,357,9112.0,8296.6
simple-hash,358,8343.6,8566.0
simple-hash,359,8497.4,7459.6
simple-hash,360,9055.2,8253.4
simple-hash,361,8793.0,6799.6
simple-hash,362,8364.0,7459.8
simple-hash,363,10036.2,7577.6
simple-hash,364,9953.2,6648.2
simple-hash,365,8580.8,6640.6
simple-hash,366,8227.2,7605.8
simple-hash,367,8337.6,7329.2
simple-hash,368,6997.8,7374.6
simple-hash,369,7408.2,7541.6
simple-hash,370,7656.4,7837.2
simple-hash,371,7942.0,7151.2
simple-hash,372,7414.8,6728.4
simple-hash,373,6936.8,7896.2
simple-hash,374,7201.4,7814.2
simple-hash,375,7453.2,7725.6
simple-hash,376,7698.2,6860.8
simple-hash,377,7316.8,7476.2
simple-hash,378,6772.0,7995.2
simple-hash,379,8223.6,6522.4
simple-hash,380,6738.4,6933.0
simple-hash,381,7355.2,6792.2
simple-hash,382,7401.4,6028.4
simple-hash,383,8066.8,6700.2
simple-hash,384,7986.2,6345.8
simple-hash,385,8261.6,6860.0
simple-hash,386,8989.6,8006.4
simple-hash,387,8002.0,8096.4
simple-hash,388,8686.0,7085.8
simple-hash,389,8285.8,7375.6
simple-hash,390,9036.8,7273.6
simple-hash,391,9517.8,8049.0
simple-hash,392,9829.2,7210.2
simple-hash,393,10004.8,6684.8
simple-hash,394,9855.2,8670.0
simple-hash,395,9670.2,8682.4
simple-hash,396,8730.2,7517.8
simple-hash,397,10261.4,6689.6
simple-hash,398,9863.4,7825.6
simple-hash,399,8717.6,7460.2
simple-hash,400,8448.4,7408.6
simple-hash,401,9093.4,7409.8
simple-hash,402,8791.8,7955.8
simple-hash,403,7857.8,7761.0
simple-hash,404,8929.0,7270.6
simple-hash,405,7950.0,8544.8
simple-hash,406,9014.2,8862.6
simple-hash,407,8281.8,9129.8
simple-hash,408,7296.6,9169.2
simple-hash,409,9160.2,8886.2
simple-hash,410,8333.6,8828.4
simple-hash,411,8601.6,8762.0
simple-hash,412,9335.4,8942.2
simple-hash,413,7315.0,8484.0
simple-hash,414,8656.0,7920.6
simple-hash,415,7549.0,10134.8
simple-hash,416,8606.2,8729.2
simple-hash,417,8717.4,8490.6
simple-hash,418,7251.4,7769.0
simple-hash,419,7324.4,7538.8
simple-hash,420,6837.6,7430.4
simple-hash,421,6503.2,6491.4
simple-hash,422,7224.4,6473.2
simple-hash,423,7381.4,6310.0
simple-hash,424,8317.2,8069.8
simple-hash,425,7690.0,7641.8
simple-hash,426,7316.0,8100.2
simple-hash,427,7916.4,7961.6
simple-hash,428,7183.6,7668.2
simple-hash,429,6707.4,7003.2
simple-hash,430,6150.6,7901.2
simple-hash,431,6433.2,8867.2
simple-hash,432,6184.2,8315.6
simple-hash,433,7203.4,6520.4
simple-hash,434,6781.2,6498.2
simple-hash,435,8057.2,8402.6
simple-hash,436,8141.8,7486.0
simple-hash,437,7660.2,7818.6
simple-hash,438,6467.6,7873.6
simple-hash,439,6342.8,8311.8
simple-hash,440,7680.0,8455.8
simple-hash,441,7892.4,8176.8
simple-hash,442,7055.2,7729.8
simple-hash,443,7033.2,7185.6
simple-hash,444,6692.2,8325.8
simple-hash,445,6904.8,6595.8
simple-hash,446,8178.2,7439.6
simple-hash,447,8227.8,9734.2
simple-hash,448,7057.8,9431.6
simple-hash,449,7887.6,7311.0
simple-hash,450,7919.2,7363.6
simple-hash,451,7734.6,8217.2
simple-hash,452,6809.8,7412.8
simple-hash,453,8316.4,7726.0
simple-hash,454,8185.2,6966.8
simple-hash,455,7510.6,6474.4
simple-hash,456,6640.4,6953.6
simple-hash,457,9178.0,7483.0
simple-hash,458,8690.2,8615.0
simple-hash,459,9454.8,8305.0
simple-hash,460,8376.2,7878.0
simple-hash,461,8187.2,7650.4
simple-hash,462,8196.8,7665.6
simple-hash,463,7976.0,6703.8
simple-hash,464,8332.0,9182.2
simple-hash,465,7201.8,6628.8
simple-hash,466,7463.6,7999.0
simple-hash,467,6546.4,6887.0
simple-hash,468,6089.2,6746.4
simple-hash,469,6955.8,6179.6
simple-hash,470,7698.8,6811.8
simple-hash,471,8573.2,8143.6
simple-hash,472,7854.2,7795.2
simple-hash,473,6571.8,6491.4
simple-hash,474,6446.6,7100.4
simple-hash,475,8001.2,7916.6
simple-hash,476,8109.2,8095.2
simple-hash,477,7860.8,7364.6
simple-hash,478,5785.0,7240.4
simple-hash,479,7230.8,7060.0
simple-hash,480,6852.8,7292.8
simple-hash,481,7167.6,7924.2
simple-hash,482,8234.8,8177.6
simple-hash,483,8082.4,7026.4
simple-hash,484,7616.4,7117.2
simple-hash,485,6944.6,7270.2
simple-hash,486,6344.2,6797.0
simple-hash,487,5228.4,6677.2
simple-hash,488,5630.8,7337.2
simple-hash,489,4514.8,7447.8
simple-hash,490,4777.2,7436.0
simple-hash,491,6776.0,6750.0
simple-hash,492,7054.4,7179.4
simple-hash,493,7555.2,6783.0
simple-hash,494,6350.4,6478.0
simple-hash,495,6970.2,5884.0
simple-hash,496,7649.2,7065.2
simple-hash,497,8145.6,7241.2
simple-hash,498,9079.4,6613.2
simple-hash,499,7618.6,6758.8
simple-hash,500,8657.6,6280.4
