bench,invocation,baseline_mean_us,aot_mean_us
word-count,224,906.6,877.0
word-count,225,910.0,865.0
word-count,226,910.0,863.6
word-count,227,907.2,875.4
word-count,228,899.4,879.2
word-count,229,891.0,884.4
word-count,230,1536.2,888.0
word-count,231,884.8,865.6
word-count,232,868.4,864.4
word-count,233,865.4,874.0
word-count,234,869.8,868.0
word-count,235,862.2,869.4
word-count,236,850.4,886.4
word-count,237,845.6,895.0
word-count,238,834.8,867.4
word-count,239,832.0,1509.0
word-count,240,831.0,846.0
word-count,241,849.0,837.2
word-count,242,838.2,845.6
word-count,243,838.2,834.0
word-count,244,839.2,848.6
word-count,245,841.8,824.2
word-count,246,836.4,827.4
word-count,247,840.0,824.8
word-count,248,837.6,829.0
word-count,249,835.0,821.8
word-count,250,848.4,829.8
word-count,251,842.4,826.8
word-count,252,841.0,827.4
word-count,253,845.6,827.2
word-count,254,850.2,823.4
word-count,255,860.8,827.0
word-count,256,928.8,841.6
word-count,257,880.2,843.4
word-count,258,859.4,823.4
word-count,259,856.4,832.0
word-count,260,855.6,833.8
word-count,261,845.2,838.8
word-count,262,830.6,834.6
word-count,263,839.6,835.6
word-count,264,842.0,826.6
word-count,265,831.8,826.2
word-count,266,841.6,827.8
word-count,267,853.8,822.0
word-count,268,857.6,827.6
word-count,269,845.0,825.4
word-count,270,834.0,818.2
word-count,271,831.4,825.2
word-count,272,824.6,829.0
word-count,273,831.4,830.4
word-count,274,831.0,827.8
word-count,275,838.6,825.2
word-count,276,833.6,825.0
word-count,277,826.8,825.2
word-count,278,828.0,823.8
word-count,279,824.6,818.0
word-count,280,821.4,823.0
word-count,281,822.2,824.6
word-count,282,820.2,827.8
word-count,283,819.2,826.8
word-count,284,821.0,823.2
word-count,285,823.4,825.0
word-count,286,823.6,828.2
word-count,287,822.6,835.4
word-count,288,820.8,839.8
word-count,289,823.0,838.2
word-count,290,822.6,834.0
word-count,291,823.6,830.4
word-count,292,831.8,831.6
word-count,293,822.8,830.8
word-count,294,828.8,834.6
word-count,295,829.0,833.4
word-count,296,835.4,836.6
word-count,297,827.0,827.8
word-count,298,831.0,822.4
word-count,299,835.2,828.0
word-count,300,850.2,824.2
word-count,301,843.4,825.2
word-count,302,835.0,840.4
word-count,303,842.2,827.6
word-count,304,866.6,834.6
word-count,305,851.0,835.2
word-count,306,867.6,835.2
word-count,307,881.6,841.4
word-count,308,874.4,841.8
word-count,309,857.8,843.2
word-count,310,845.0,841.4
word-count,311,860.0,836.2
word-count,312,854.8,854.0
word-count,313,849.6,873.8
word-count,314,849.6,840.0
word-count,315,849.6,847.0
word-count,316,845.2,835.6
word-count,317,851.6,829.8
word-count,318,852.0,826.0
word-count,319,864.2,829.8
word-count,320,879.4,840.2
word-count,321,884.2,845.4
word-count,322,863.4,839.6
word-count,323,867.2,837.0
word-count,324,860.6,843.0
word-count,325,868.4,844.8
word-count,326,868.4,859.4
word-count,327,856.8,856.2
word-count,328,852.4,849.4
word-count,329,859.2,849.2
word-count,330,860.4,831.6
word-count,331,864.4,836.8
word-count,332,879.0,859.6
word-count,333,867.0,853.8
word-count,334,875.0,835.0
word-count,335,865.6,826.6
word-count,336,848.2,824.2
word-count,337,867.2,835.6
word-count,338,867.2,835.6
word-count,339,848.6,835.0
word-count,340,853.6,827.6
word-count,341,902.4,829.0
word-count,342,907.4,829.2
word-count,343,937.6,836.2
word-count,344,871.2,840.0
word-count,345,882.2,840.8
word-count,346,875.4,827.8
word-count,347,880.0,841.4
word-count,348,907.2,829.2
word-count,349,912.2,837.2
word-count,350,874.8,841.0
word-count,351,873.0,845.8
word-count,352,874.2,842.6
word-count,353,871.0,835.0
word-count,354,871.0,825.6
word-count,355,911.0,832.8
word-count,356,891.4,840.6
word-count,357,886.2,837.0
word-count,358,880.8,830.4
word-count,359,874.0,837.4
word-count,360,872.8,825.2
word-count,361,901.8,835.8
word-count,362,890.4,839.4
word-count,363,907.0,840.6
word-count,364,869.0,832.6
word-count,365,882.0,825.2
word-count,366,1088.2,819.6
word-count,367,1038.2,828.8
word-count,368,914.8,833.8
word-count,369,879.2,826.2
word-count,370,874.4,821.2
word-count,371,866.2,827.0
word-count,372,880.4,820.6
word-count,373,869.0,832.8
word-count,374,872.6,840.2
word-count,375,899.0,842.8
word-count,376,866.6,833.0
word-count,377,901.4,835.6
word-count,378,885.4,832.8
word-count,379,880.8,836.4
word-count,380,871.8,836.2
word-count,381,871.6,840.4
word-count,382,896.8,834.4
word-count,383,903.6,834.0
word-count,384,900.0,851.6
word-count,385,886.6,868.0
word-count,386,868.8,856.4
word-count,387,866.4,866.0
word-count,388,885.8,844.6
word-count,389,860.2,842.4
word-count,390,890.0,845.4
word-count,391,868.6,849.2
word-count,392,867.0,842.4
word-count,393,864.6,826.6
word-count,394,877.8,836.2
word-count,395,874.0,833.0
word-count,396,869.8,857.4
word-count,397,865.2,844.2
word-count,398,914.2,851.2
word-count,399,884.8,841.0
word-count,400,897.6,838.6
word-count,401,881.4,849.6
word-count,402,889.8,847.6
word-count,403,896.8,842.4
word-count,404,880.8,850.2
word-count,405,895.6,845.0
word-count,406,904.4,849.0
word-count,407,878.6,853.4
word-count,408,893.8,842.2
word-count,409,879.8,833.2
word-count,410,880.8,831.6
word-count,411,886.8,822.8
word-count,412,881.8,834.4
word-count,413,901.0,906.4
word-count,414,898.4,885.0
word-count,415,883.4,874.0
word-count,416,886.4,872.8
word-count,417,890.6,871.8
word-count,418,886.8,869.6
word-count,419,891.2,884.6
word-count,420,889.6,879.6
word-count,421,910.8,871.4
word-count,422,892.8,869.8
word-count,423,927.2,867.4
word-count,424,900.2,867.6
word-count,425,905.2,898.2
word-count,426,933.2,886.4
word-count,427,918.6,899.2
word-count,428,1005.0,920.0
word-count,429,937.2,898.2
word-count,430,927.4,867.0
word-count,431,920.2,886.6
word-count,432,925.8,870.4
word-count,433,919.6,874.4
word-count,434,899.6,869.8
word-count,435,1003.6,874.6
word-count,436,902.2,873.8
word-count,437,884.6,891.0
word-count,438,902.2,876.8
word-count,439,876.4,891.2
word-count,440,868.2,886.8
word-count,441,877.0,890.8
word-count,442,889.2,875.8
word-count,443,882.8,889.8
word-count,444,888.2,875.8
word-count,445,874.0,881.0
word-count,446,895.8,878.0
word-count,447,899.4,875.0
word-count,448,889.0,879.6
word-count,449,877.2,905.0
word-count,450,1471.8,872.0
word-count,451,1018.2,869.0
word-count,452,862.2,882.8
word-count,453,854.8,871.0
word-count,454,848.6,875.4
word-count,455,845.8,887.2
word-count,456,844.0,870.2
word-count,457,856.4,887.8
word-count,458,840.8,876.2
word-count,459,871.0,904.6
word-count,460,870.6,872.8
word-count,461,838.8,878.8
word-count,462,848.2,867.6
word-count,463,839.8,862.0
word-count,464,825.6,1513.8
word-count,465,837.2,826.0
word-count,466,826.2,825.8
word-count,467,824.2,824.0
word-count,468,823.2,821.2
word-count,469,825.4,828.2
word-count,470,823.4,833.8
word-count,471,830.2,829.6
word-count,472,835.4,826.0
word-count,473,842.6,826.8
word-count,474,826.8,824.4
word-count,475,832.6,830.4
word-count,476,832.2,833.4
word-count,477,834.6,829.6
word-count,478,836.6,823.6
word-count,479,834.4,822.0
word-count,480,832.8,828.4
word-count,481,830.8,828.0
word-count,482,822.0,831.4
word-count,483,826.6,827.0
word-count,484,822.8,822.2
word-count,485,830.8,821.0
word-count,486,826.8,827.2
word-count,487,826.8,836.4
word-count,488,829.8,827.4
word-count,489,829.2,824.2
word-count,490,836.6,826.0
word-count,491,830.2,846.6
word-count,492,828.0,862.6
word-count,493,823.2,871.8
word-count,494,822.0,831.8
word-count,495,835.8,827.8
word-count,496,827.0,823.6
word-count,497,828.6,830.6
word-count,498,843.6,840.4
word-count,499,832.6,836.2
word-count,500,834.4,834.2
